motif_id	status	n_profiles	n_plots	error_hint
AC0001	FAILED	6	0	slurmstepd: error: *** JOB 28947672 ON compute-b-16-176 CANCELLED AT 2026-02-13T10:14:06 DUE TO TIME LIMIT *** 
AC0002	PARTIAL	4	4	some presets skipped (low n)
AC0003	FAILED	6	0	slurmstepd: error: *** JOB 28947674 ON compute-b-16-187 CANCELLED AT 2026-02-13T10:14:06 DUE TO TIME LIMIT *** 
AC0004	FAILED	6	0	slurmstepd: error: *** JOB 28947675 ON compute-b-16-186 CANCELLED AT 2026-02-13T10:14:06 DUE TO TIME LIMIT *** 
AC0005	FAILED	5	0	slurmstepd: error: *** JOB 28947676 ON compute-b-16-178 CANCELLED AT 2026-02-13T10:14:06 DUE TO TIME LIMIT *** 
AC0006	PARTIAL	4	4	some presets skipped (low n)
AC0007	OK	8	8	
AC0008	PARTIAL	4	4	some presets skipped (low n)
AC0009	PARTIAL	4	4	some presets skipped (low n)
AC0010	PARTIAL	4	4	some presets skipped (low n)
AC0011	OK	8	8	
AC0012	OK	8	8	
AC0013	OK	8	8	
AC0014	FAILED_EMPTY	0	0	slurmstepd: error: *** JOB 28947685 ON compute-b-16-197 CANCELLED AT 2026-02-13T10:14:06 DUE TO TIME LIMIT *** 
AC0015	FAILED_EMPTY	0	0	/var/spool/slurmd/job28947686/slurm_script: line 65: 1487885 Killed                  Rscript "${SCRIPT_DIR}/run_motif.R" --motif_id "${MOTIF_ID}" --config "${SCRIPT_DIR}/config.R" ${EXTRA_ARGS} slurms
AC0016	SKIPPED	0	0	all presets below MIN_INSTANCES
AC0017	PARTIAL	4	4	some presets skipped (low n)
AC0018	OK	8	8	
AC0019	OK	8	8	
AC0020	PARTIAL	4	4	some presets skipped (low n)
AC0021	OK	8	8	
AC0022	PARTIAL	4	4	some presets skipped (low n)
AC0023	OK	8	8	
AC0024	PARTIAL	4	4	some presets skipped (low n)
AC0025	OK	8	8	
AC0026	OK	8	8	
AC0027	OK	8	8	
AC0028	OK	8	8	
AC0029	OK	8	8	
AC0030	FAILED	7	0	slurmstepd: error: *** JOB 28947811 ON compute-b-16-188 CANCELLED AT 2026-02-13T11:37:26 DUE TO TIME LIMIT *** 
AC0031	FAILED	3	0	slurmstepd: error: *** JOB 28947812 ON compute-b-16-188 CANCELLED AT 2026-02-13T11:37:26 DUE TO TIME LIMIT *** 
AC0032	PARTIAL	4	4	some presets skipped (low n)
AC0033	OK	8	8	
AC0034	OK	8	8	
AC0035	SKIPPED	0	0	all presets below MIN_INSTANCES
AC0036	PARTIAL	4	4	some presets skipped (low n)
AC0037	PARTIAL	4	4	some presets skipped (low n)
AC0038	OK	8	8	
AC0039	PARTIAL	4	4	some presets skipped (low n)
AC0040	OK	8	8	
AC0041	OK	8	8	
AC0042	PARTIAL	4	4	some presets skipped (low n)
AC0043	OK	8	8	
AC0044	OK	8	8	
AC0045	OK	8	8	
AC0046	OK	8	8	
AC0047	OK	8	8	
AC0048	OK	8	8	
AC0049	OK	8	8	
AC0050	OK	8	8	
AC0051	OK	8	8	
AC0052	OK	8	8	
AC0053	FAILED_EMPTY	0	0	/var/spool/slurmd/job28947834/slurm_script: line 65: 2285095 Killed                  Rscript "${SCRIPT_DIR}/run_motif.R" --motif_id "${MOTIF_ID}" --config "${SCRIPT_DIR}/config.R" ${EXTRA_ARGS} slurms
AC0054	SKIPPED	0	0	all presets below MIN_INSTANCES
AC0055	OK	8	8	
AC0056	OK	8	8	
AC0057	OK	8	8	
AC0058	OK	8	8	
AC0059	OK	8	8	
AC0060	SKIPPED	0	0	all presets below MIN_INSTANCES
AC0061	OK	8	8	
AC0062	OK	8	8	
AC0063	OK	8	8	
AC0064	OK	8	8	
AC0065	PARTIAL	4	4	some presets skipped (low n)
AC0066	OK	8	8	
AC0067	OK	8	8	
AC0068	OK	8	8	
AC0069	OK	8	8	
AC0070	OK	8	8	
AC0071	OK	8	8	
AC0072	OK	8	8	
AC0073	OK	8	8	
AC0074	OK	8	8	
AC0075	OK	8	8	
AC0076	OK	8	8	
AC0077	OK	8	8	
AC0078	FAILED	4	0	slurmstepd: error: *** JOB 28947892 ON compute-b-16-189 CANCELLED AT 2026-02-13T11:38:56 DUE TO TIME LIMIT *** 
AC0079	OK	8	8	
AC0080	OK	8	8	
AC0081	OK	8	8	
AC0082	FAILED	3	0	slurmstepd: error: *** JOB 28947896 ON compute-b-16-179 CANCELLED AT 2026-02-13T11:38:56 DUE TO TIME LIMIT *** 
AC0083	FAILED	3	0	slurmstepd: error: *** JOB 28947897 ON compute-b-16-179 CANCELLED AT 2026-02-13T11:38:56 DUE TO TIME LIMIT *** 
AC0084	PARTIAL	4	4	some presets skipped (low n)
AC0085	OK	8	8	
AC0086	OK	8	8	
AC0087	FAILED	6	0	slurmstepd: error: *** JOB 28947901 ON compute-b-16-193 CANCELLED AT 2026-02-13T11:38:56 DUE TO TIME LIMIT *** 
AC0088	PARTIAL	4	4	some presets skipped (low n)
AC0089	OK	8	8	
AC0090	PARTIAL	4	4	some presets skipped (low n)
AC0091	PARTIAL	4	4	some presets skipped (low n)
AC0092	OK	8	8	
AC0093	OK	8	8	
AC0094	OK	8	8	
AC0095	PARTIAL	4	4	some presets skipped (low n)
AC0096	OK	8	8	
AC0097	PARTIAL	4	4	some presets skipped (low n)
AC0098	PARTIAL	4	4	some presets skipped (low n)
AC0099	OK	8	8	
AC0100	PARTIAL	4	4	some presets skipped (low n)
AC0101	PARTIAL	4	4	some presets skipped (low n)
AC0102	OK	8	8	
AC0103	OK	8	8	
AC0104	OK	8	8	
AC0105	OK	8	8	
AC0106	OK	8	8	
AC0107	FAILED	5	0	slurmstepd: error: *** JOB 28947921 ON compute-b-16-199 CANCELLED AT 2026-02-13T11:38:56 DUE TO TIME LIMIT *** 
AC0108	OK	8	8	
AC0109	OK	8	8	
AC0110	OK	8	8	
AC0111	OK	8	8	
